left,right,bottom,top,경찰서,CCTV,보안등,유흥주점,최종점수,점수등급
35.122937706443246,35.12440719228316,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.121468194092444,35.122937706443246,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.11999865523121,35.121468194092444,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.11852908986005,35.11999865523121,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.11705949797945,35.11852908986005,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.115589879589905,35.11705949797945,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.11412023469189,35.115589879589905,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.112650563285904,35.11412023469189,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.11118086537243,35.112650563285904,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.10971114095196,35.11118086537243,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.10824139002498,35.10971114095196,128.95374907654505,128.9555457071133,1.0,0.0,0.0,0.0,0.3593,1
35.106771612591984,35.10824139002498,128.95374907654505,128.9555457071133,1.0,1.0,0.0,0.0,0.5814,1
35.105301808653465,35.106771612591984,128.95374907654505,128.9555457071133,1.0,1.0,0.0,0.0,0.5814,1
35.09648242843361,35.09795239139504,128.95374907654505,128.9555457071133,1.0,1.0,0.0,0.0,0.5814,1
35.09501243897008,35.09648242843361,128.95374907654505,128.9555457071133,1.0,0.0,0.0,0.0,0.3593,1
35.093542423004955,35.09501243897008,128.95374907654505,128.9555457071133,1.0,0.0,0.0,0.0,0.3593,1
35.09207238053869,35.093542423004955,128.95374907654505,128.9555457071133,1.0,0.0,0.0,0.0,0.3593,1
35.0906023115718,35.09207238053869,128.95374907654505,128.9555457071133,1.0,0.0,0.0,0.0,0.3593,1
35.089132216104765,35.0906023115718,128.95374907654505,128.9555457071133,1.0,0.0,0.0,0.0,0.3593,1
35.087662094138075,35.089132216104765,128.95374907654505,128.9555457071133,1.0,0.0,0.0,0.0,0.3593,1
35.086191945672226,35.087662094138075,128.95374907654505,128.9555457071133,1.0,0.0,0.0,0.0,0.3593,1
35.0847217707077,35.086191945672226,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.08325156924499,35.0847217707077,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.0817813412846,35.08325156924499,128.95374907654505,128.9555457071133,0.0,1.0,0.0,0.0,0.2221,2
35.08031108682701,35.0817813412846,128.95374907654505,128.9555457071133,0.0,1.0,0.0,0.0,0.2221,2
35.078840805872694,35.08031108682701,128.95374907654505,128.9555457071133,0.0,1.0,0.0,0.0,0.2221,2
35.07737049842217,35.078840805872694,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.07590016447591,35.07737049842217,128.95374907654505,128.9555457071133,0.0,0.0,1.0,0.0,0.0927,2
35.074429804034416,35.07590016447591,128.95374907654505,128.9555457071133,0.0,0.0,1.0,0.0,0.0927,2
35.072959417098176,35.074429804034416,128.95374907654505,128.9555457071133,0.0,1.0,0.0,0.0,0.2221,2
35.07148900366768,35.072959417098176,128.95374907654505,128.9555457071133,0.0,1.0,0.0,0.0,0.2221,2
35.070018563743425,35.07148900366768,128.95374907654505,128.9555457071133,0.0,1.0,0.0,0.0,0.2221,2
35.06854809732589,35.070018563743425,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.067077604415566,35.06854809732589,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.06560708501296,35.067077604415566,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.06413653911854,35.06560708501296,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.06266596673282,35.06413653911854,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.061195367856286,35.06266596673282,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.0494296232336,35.05090043401897,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.22427000815329,35.2257376635657,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
35.22280232619646,35.22427000815329,128.95374907654505,128.9555457071133,0.0,1.0,1.0,0.0,0.3147999999999999,1
35.221334617695696,35.22280232619646,128.95374907654505,128.9555457071133,0.0,1.0,1.0,0.0,0.3147999999999999,1
35.21986688265147,35.221334617695696,128.95374907654505,128.9555457071133,0.0,1.0,1.0,0.0,0.3147999999999999,1
35.218399121064294,35.21986688265147,128.95374907654505,128.9555457071133,0.0,1.0,1.0,0.0,0.3147999999999999,1
35.21693133293463,35.218399121064294,128.95374907654505,128.9555457071133,0.0,1.0,1.0,0.0,0.3147999999999999,1
35.215463518262965,35.21693133293463,128.95374907654505,128.9555457071133,0.0,1.0,1.0,0.0,0.3147999999999999,1
35.21399567704979,35.215463518262965,128.95374907654505,128.9555457071133,0.0,1.0,1.0,0.0,0.3147999999999999,1
35.21252780929558,35.21399567704979,128.95374907654505,128.9555457071133,0.0,1.0,1.0,0.0,0.3147999999999999,1
35.21105991500081,35.21252780929558,128.95374907654505,128.9555457071133,0.0,0.0,1.0,0.0,0.0927,2
35.209591994165976,35.21105991500081,128.95374907654505,128.9555457071133,0.0,0.0,0.0,0.0,0.0,0
