위도,경도
35.10346759,129.0339846
35.10492566,129.0287177
35.10603812,129.021683
35.0979819,129.0341597
35.09731383,129.0350904
35.11497317,129.0301512
35.11049399,129.039296
35.10555678,129.0312818
35.09830429,129.025457
35.10490937,129.0236553
35.10837005,129.0245086
35.10372443,129.0276922
35.11153975,129.0293949
35.11056152,129.0294759
35.10542545,129.0279317
35.11105005,129.0360242
35.10607045,129.0242806
35.11016968,129.0313481
35.10542182,129.0296555
35.1097431,129.0303461
35.10828548,129.0351527
35.0993941,129.0258173
35.10639957,129.0229202
35.11105005,129.0360242
35.11442246,129.0344017
35.10780626,129.0295523
35.11173171,129.0312772
35.10824308,129.032954
35.10376295,129.022583
35.11053537,129.0318967
35.10115371,129.0361114
35.11132497,129.0342501
35.10069548,129.0311963
35.10000343,129.0352757
35.10457839,129.0302969
35.10742179,129.0359252
35.10652056,129.0243093
35.10169468,129.0253391
35.10185327,129.0350235
35.10765135,129.0329875
35.10536463,129.0307024
35.10739633,129.024967
35.09999657,129.0247094
35.10904997,129.0312676
35.11147093,129.036934
35.09938825,129.03112
35.11273163,129.0316222
35.1050768,129.0349676
35.10499511,129.0260744
35.09699416,129.0298632
35.1059082,129.0307466
35.10359856,129.0319789
35.10124376,129.0369733
35.09896773,129.0288946
35.10982422,129.0315281
35.10098762,129.023861
35.09898398,129.0270616
35.09886051,129.0269006
35.10001508,129.0287758
35.09961345,129.0292965
35.10059944,129.0309044
35.1137893,129.0356142
35.11480751,129.0316475
35.10916496,129.0347271
35.11344997,129.0300564
35.10999776,129.0334319
35.10599235,129.0267965
35.10959905,129.0337773
35.10878184,129.0257514
35.10514123,129.0345657
35.11193715,129.0336424
35.11344997,129.0300564
35.11061744,129.0317321
35.1008124,129.0341116
35.10632037,129.025072
35.09995902,129.0304016
35.10616886,129.0296038
35.1133366,129.0323041
35.10444959,129.0216129
35.11210019,129.0320891
35.10666767,129.0310287
35.10364018,129.0314316
35.10541139,129.0259706
35.10569258,129.0296315
35.11385575,129.0333742
35.10276269,129.0280807
35.11378178,129.0315518
35.10758331,129.0342492
35.09846509,129.030926
35.10087337,129.0253056
35.10338288,129.0280697
35.09683689,129.0347277
35.10154083,129.0280723
35.09714039,129.0271563
35.10234376,129.0317854
35.10255241,129.0255147
35.10038946,129.0305953
35.10050047,129.0251688
35.10575033,129.0305776
35.09715494,129.0377993
35.10692048,129.0352955
35.09766321,129.0369423
35.1044847,129.0349826
35.1097431,129.0329875
35.11185311,129.0341155
35.10540464,129.0349
35.10600661,129.0277
35.10558601,129.0325
35.10477889,129.0315
35.0979328,129.0308
35.0986296,129.0294
35.09867666,129.0335
35.09979755,129.0337
35.0989603,129.0374
35.09906067,129.0315
35.09633507,129.0334
35.10986487,129.0237
35.09664996,129.0294
35.10693283,129.0295
35.10762001,129.0312
35.10433701,129.0347
35.10854531,129.0237
35.10098762,129.0279
35.09898398,129.0376
35.09886051,129.035
35.10001508,129.0276
35.09961345,129.0261
35.10059944,129.0235
35.1137893,129.0257
35.11480751,129.0344
35.10916496,129.033
35.11344997,129.0334
35.10999776,129.034
35.10599235,129.03
35.10959905,129.032
35.10878184,129.034
35.10514123,129.025
35.11193715,129.03
35.11344997,129.03
35.11061744,129.032
35.1008124,129.022
35.10632037,129.032
35.09995902,129.031
35.10616886,129.031
35.1133366,129.026
35.11444,129.03
35.10701,129.033
35.10335,129.028
35.10363,129.032
35.11275,129.034
35.11188,129.032
35.10178,129.025
35.10689,129.037
35.10181,129.035
35.11250249,129.0280594
35.10404621,129.0322883
35.10988642,129.0323867
35.098353,129.035276
35.112994,129.035602
35.105931,129.032882
35.105936,129.030495
35.107656,129.030701
35.110767,129.030492
35.110697,129.029216
35.104925,129.025068
35.11154,129.031
35.11056,129.025
35.1125,129.028
35.10722,129.035
35.10671,129.028
35.10543,129.027
35.10657,129.032
35.11265,129.026
35.10493,129.031
35.10729,129.025
35.10832,129.031
35.10765,129.038
35.10864,129.035
35.10904,129.037
35.10963,129.035
35.10729,129.033
35.10832,129.034
35.10765,129.032
35.10864,129.027
35.10904,129.035
35.110988,129.032805
