위도,경도
35.10119008,129.0229608
35.10170112,129.0310925
35.10025699,129.0266977
35.10022545,129.0259688
35.102877,129.0255761
35.11701602,129.0333214
35.1604954,129.151698
35.15951854,129.1175658
35.13536932,129.0959059
35.13518172,129.0961354
35.13580768,129.091586
35.13553123,129.0907202
35.13705913,129.1007663
35.13496494,129.0934877
35.13723827,129.069898
35.1357376,129.0906216
35.1354901,129.0889507
35.11993736,129.1114093
35.1188322,129.1120808
35.13552019,129.0942789
35.11897754,129.1112229
35.119616,129.1113497
35.1196172,129.1115077
35.13742996,129.0697024
35.11910384,129.1111941
35.12026458,129.1114464
35.13591292,129.0686206
35.11920022,129.1113876
35.11829727,129.1114418
35.13522601,129.0956489
35.12026342,129.1115923
35.13267332,129.0923219
35.11851573,129.1110083
35.13478783,129.0945421
35.12060921,129.1125612
35.1353798,129.0955652
35.11937405,129.1126201
35.11987685,129.1115654
35.13516775,129.087871
35.1346335,129.0910018
35.13526915,129.0904176
35.13581972,129.0698451
35.13446745,129.092388
35.13533546,129.09536
35.11897327,129.1116827
35.11850101,129.1112786
35.13518308,129.0867151
35.12110743,129.1115371
35.11950402,129.1113295
35.11940813,129.1115612
35.1222272,129.1121411
35.13576595,129.0913393
35.11566533,129.1111862
35.11644214,129.1112692
35.1201422,129.111878
35.11516892,129.1108512
35.13461736,129.090401
35.13879109,129.1047074
35.11961229,129.1126837
35.12878236,129.0917286
35.11427682,129.1107973
35.11371131,129.1107995
35.13724779,129.0712921
35.13587462,129.0692088
35.12891747,129.0912905
35.12828443,129.0909223
35.12946086,129.0916355
35.12363252,129.1122661
35.11402321,129.0953579
35.12004864,129.1107699
35.12021984,129.1112283
35.12033589,129.1112303
35.13806267,129.1036502
35.13747154,129.071456
35.1205404,129.1112476
35.1241738,129.1123038
35.1212268,129.1123864
35.12235921,129.1117896
35.13752456,129.0718578
35.11579206,129.1111719
35.1195093,129.1118552
35.11462851,129.1116738
35.11944069,129.1124224
35.11823334,129.1109175
35.13099938,129.0922872
35.1380082,129.103054
35.13445502,129.0881465
35.13516083,129.0876621
35.13547542,129.088731
35.14373034,129.0670999
35.13419356,129.091705
35.13493233,129.0933041
35.13465508,129.0914809
35.13794655,129.1026387
35.13465016,129.0880974
35.1357426,129.0884201
35.13443055,129.0875145
35.13552216,129.0870042
35.11909794,129.1117071
35.13553969,129.0874996
35.13552578,129.0871696
35.13590611,129.0875237
35.1339868,129.092255
35.11919717,129.1121582
35.11989114,129.1116877
35.13562586,129.0681064
35.13829867,129.103596
35.11840932,129.1109729
35.13351264,129.091765
35.11980726,129.111785
35.11993736,129.1114093
35.13358905,129.0921708
35.11787587,129.1116995
35.15261732,129.0570685
35.15822002,129.057483
35.15960972,129.0595183
35.15836962,129.057478
35.16054826,129.0582945
35.14738526,129.0585118
35.15426701,129.0586566
35.15457459,129.0568222
35.14323311,129.0601412
35.15842034,129.056647
35.15854174,129.0607915
35.15861608,129.0566583
35.16722931,129.0389484
35.15977097,129.0577665
35.15817862,129.0567943
35.15413455,129.0604294
35.15652546,129.0595346
35.15967307,129.059222
35.15926098,129.0591667
35.14446341,129.0598859
35.15877669,129.0563366
35.15930093,129.0587745
35.15855396,129.0561091
35.15798507,129.0542824
35.15241578,129.0575958
35.15483538,129.0569065
35.15904648,129.0591946
35.15838362,129.0560946
35.15863589,129.0568589
35.15550507,129.0600549
35.14288945,129.0628651
35.15971043,129.0505064
35.15810512,129.0609086
35.15855396,129.0561091
35.15352838,129.0570455
35.15314375,129.0571587
35.15838362,129.0560946
35.15854618,129.0572087
35.15414814,129.0618802
35.1546441,129.0585541
35.15429124,129.0614518
35.15858737,129.0563429
35.16021601,129.0580706
35.14308693,129.0601848
35.15495776,129.0580378
35.17291645,129.0718485
35.15314375,129.0571587
