위도,경도
35.0072004974,128.8240723079
35.0072004974,128.8240723079
35.0072004974,128.8240723079
35.0072004974,128.8240723079
35.0072004974,128.8240723079
35.0072004974,128.8240723079
35.0072004974,128.8240723079
35.0072004974,128.8240723079
35.0072004974,128.8240723079
35.0072004974,128.8240723079
35.0081077729,128.8243552003
35.0081077729,128.8243552003
35.01037291,128.8273471
35.01037291,128.8273471
35.01058722,128.8276451
35.01058722,128.8276451
35.01097601,128.8274737
35.01097601,128.8274737
35.01115269,128.8272652174
35.01115269,128.8272652174
35.01115269,128.8272652174
35.01115269,128.8272652174
35.01134455,128.8284971117
35.01134455,128.8284971117
35.01134455,128.8284971117
35.01134455,128.8284971117
35.01134455,128.8284971117
35.01134455,128.8284971117
35.01136345,128.8274996
35.01136345,128.8274996
35.01227072,128.8305985
35.01227072,128.8305985
35.01241304,128.8282442
35.01241304,128.8282442
35.01253692,128.8297842083
35.01253692,128.8297842083
35.01268452,128.8294084
35.01268452,128.8294084
35.01271891,128.828335
35.01271891,128.828335
35.01276715,128.8318197
35.01276715,128.8318197
35.01278697,128.8289273
35.01278697,128.8289273
35.012877,128.8276244
35.012877,128.8276244
35.0129233,128.8287644
35.0129233,128.8287644
35.01296988,128.8298605
35.01296988,128.8298605
35.01296988,128.8298605
35.01296988,128.8298605
35.01296988,128.8298605
35.01296988,128.8298605
35.01303349,128.8285941329
35.01303349,128.8285941329
35.01304228,128.832447
35.01304228,128.832447
35.01353411,128.8277625
35.01353411,128.8277625
35.0138930054,128.8331134
35.0138930054,128.8331134
35.01395775,128.8277668
35.01395775,128.8277668
35.01397625,128.8329605
35.01397625,128.8329605
35.01401031,128.834645332
35.01401031,128.834645332
35.0144024647,128.8342998231
35.0144024647,128.8342998231
35.01463625,128.8274121
35.01463625,128.8274121
35.01472314,128.8344582
35.01472314,128.8344582
35.01472314,128.8344582
35.01472314,128.8344582
35.01472314,128.8344582
35.01472314,128.8344582
35.0147293236,128.8354898261
35.0147293236,128.8354898261
35.01481802,128.8270304547
35.01481802,128.8270304547
35.01481802,128.8270304547
35.01481802,128.8270304547
35.01516234,128.8269353
35.01516234,128.8269353
35.0156855695,128.8265574
35.0156855695,128.8265574
35.01570466,128.8346107
35.01570466,128.8346107
35.01580592,128.8343049
35.01580592,128.8343049
35.01599766,128.8261045847
35.01599766,128.8261045847
35.01599766,128.8261045847
35.01599766,128.8261045847
35.01611793,128.8348121
35.01611793,128.8348121
35.01710457,128.8342195
35.01710457,128.8342195
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01745588,128.8252482741
35.01770491,128.8255365
35.01770491,128.8255365
35.01770491,128.8255365
35.01770491,128.8255365
35.01896222,128.8249026
35.01896222,128.8249026
35.01896222,128.8249026
35.01896222,128.8249026
35.0190794,128.8249038
35.0190794,128.8249038
35.0190794,128.8249038
35.0190794,128.8249038
35.01913415,128.824770448
35.01913415,128.824770448
35.01938922,128.824273801
35.01938922,128.824273801
35.01953574,128.8254015
35.01953574,128.8254015
35.02076311,128.8238688
35.02076311,128.8238688
35.0212808154,128.8234010068
35.0212808154,128.8234010068
35.02157457,128.8238441
35.02157457,128.8238441
35.02229424,128.8226994973
35.02229424,128.8226994973
35.02230445,128.8238843
35.02230445,128.8238843
35.02243436,128.8221846984
35.02243436,128.8221846984
35.02247645,128.8229870209
35.02247645,128.8229870209
35.0227245318,128.8218926095
35.0227245318,128.8218926095
35.02303248,128.8110427657
35.02303248,128.8110427657
35.02336707,128.8123560659
35.02336707,128.8123560659
35.02336707,128.8123560659
35.02336707,128.8123560659
35.02357745,128.8134534801
35.02357745,128.8134534801
35.02357745,128.8134534801
35.02357745,128.8134534801
35.02357745,128.8134534801
35.02357745,128.8134534801
35.02379966,128.809993387
35.02379966,128.809993387
35.02384789,128.8101884915
35.02384789,128.8101884915
35.02397247,128.8103348286
35.02397247,128.8103348286
35.02397247,128.8103348286
35.02397247,128.8103348286
35.02401901,128.8142802
35.02401901,128.8142802
35.02403962,128.8139438366
35.02403962,128.8139438366
35.02410087,128.8141715
35.02410087,128.8141715
35.02410087,128.8141715
35.02410087,128.8141715
35.02444208,128.8183828
35.02444208,128.8183828
35.0245592,128.817058
35.0245592,128.817058
35.0248885056,128.8149686
35.0248885056,128.8149686
35.02513334,128.8161323
35.02513334,128.8161323
35.02520796,128.8157605
35.02520796,128.8157605
35.02559415,128.8159725
35.02559415,128.8159725
35.02602599,128.8154253347
35.02602599,128.8154253347
35.02602599,128.8154253347
35.02602599,128.8154253347
35.02638699,128.8160352
35.02638699,128.8160352
35.02657997,128.8168261
35.02657997,128.8168261
35.02659275,128.8162674
35.02659275,128.8162674
35.02667927,128.816799324
35.02667927,128.816799324
35.0270019285,128.816118
35.0270019285,128.816118
35.02713593,128.818596
35.02713593,128.818596
35.02723561,128.8185703741
35.02723561,128.8185703741
35.02728725,128.8162085
35.02728725,128.8162085
35.02743058,128.8183530441
35.02743058,128.8183530441
35.02759801,128.816913
35.02759801,128.816913
35.02764845,128.8187874
35.02764845,128.8187874
35.02765119,128.818400843
35.02765119,128.818400843
35.02765467,128.8157719362
35.02765467,128.8157719362
35.02765467,128.8157719362
35.02765467,128.8157719362
35.02783864,128.8173209
35.02783864,128.8173209
35.02785186,128.8180333
35.02785186,128.8180333
35.02794585,128.8161274
35.02794585,128.8161274
35.0282014379,128.8149244
35.0282014379,128.8149244
35.0282014379,128.8149244
35.0282014379,128.8149244
35.0282014379,128.8149244
35.0282014379,128.8149244
35.02838574,128.8191995771
35.02838574,128.8191995771
35.02844817,128.817831
35.02844817,128.817831
35.02855383,128.8169111906
35.02855383,128.8169111906
35.02856343,128.8180872207
35.02856343,128.8180872207
35.02869406,128.8161239
35.02869406,128.8161239
35.0287426,128.8169463
35.0287426,128.8169463
35.0287426,128.8169463
35.0287426,128.8169463
35.02881804,128.8164539
35.02881804,128.8164539
35.02887034,128.8167174
35.02887034,128.8167174
35.02891693,128.8218247
35.02891693,128.8218247
35.02901722,128.8163244
35.02901722,128.8163244
35.029105,128.816676
35.029105,128.816676
35.02939033,128.8158021
35.02939033,128.8158021
35.02954666,128.8153434
35.02954666,128.8153434
35.02963429,128.815683007
35.02963429,128.815683007
35.02964656,128.8165718
35.02964656,128.8165718
35.02965539,128.8245828
35.02965539,128.8245828
35.02967456,128.8164296
35.02967456,128.8164296
35.02978353,128.8149731
35.02978353,128.8149731
35.0298857004,128.8171243532
35.0298857004,128.8171243532
35.02993359,128.8154458
35.02993359,128.8154458
35.029958334,128.8163891
35.029958334,128.8163891
35.0299871112,128.8336571678
35.0299871112,128.8336571678
35.0299871112,128.8336571678
35.0299871112,128.8336571678
35.0299871112,128.8336571678
35.0299871112,128.8336571678
35.0299871112,128.8336571678
35.0299871112,128.8336571678
35.02999595,128.8168931
35.02999595,128.8168931
35.03024146,128.8152407
35.03024146,128.8152407
35.030266914,128.8219294069
35.030266914,128.8219294069
35.03031646,128.8160714112
35.03031646,128.8160714112
35.03034853,128.8127212
35.03034853,128.8127212
